using device: mps
loaded 338025 tokens
1 epoch = 165 batches
Starting training on mps...
step     0 | loss: 10.955597 | lr: 3.00e-06 | norm: 29.0409 | dt: 388.05ms
step    10 | loss: 8.734356 | lr: 3.30e-05 | norm: 4.2617 | dt: 292.27ms
step    20 | loss: 8.439986 | lr: 6.30e-05 | norm: 3.4710 | dt: 292.70ms
step    30 | loss: 7.826203 | lr: 9.30e-05 | norm: 2.2633 | dt: 292.96ms
step    40 | loss: 7.406858 | lr: 1.23e-04 | norm: 2.3165 | dt: 291.68ms
step    50 | loss: 6.787254 | lr: 1.53e-04 | norm: 1.7876 | dt: 292.32ms
step    60 | loss: 6.105490 | lr: 1.83e-04 | norm: 2.1708 | dt: 293.09ms
step    70 | loss: 5.876544 | lr: 2.13e-04 | norm: 1.8959 | dt: 292.91ms
step    80 | loss: 5.802359 | lr: 2.43e-04 | norm: 1.9773 | dt: 292.56ms
step    90 | loss: 5.749813 | lr: 2.73e-04 | norm: 1.4773 | dt: 292.69ms
step   100 | loss: 5.595125 | lr: 3.00e-04 | norm: 1.4819 | dt: 294.25ms
step   110 | loss: 5.932827 | lr: 3.00e-04 | norm: 1.6169 | dt: 291.85ms
step   120 | loss: 5.605064 | lr: 3.00e-04 | norm: 1.9940 | dt: 292.65ms
step   130 | loss: 5.508691 | lr: 3.00e-04 | norm: 1.7281 | dt: 294.02ms
step   140 | loss: 5.135293 | lr: 3.00e-04 | norm: 1.4792 | dt: 293.34ms
step   150 | loss: 5.787504 | lr: 3.00e-04 | norm: 1.4608 | dt: 293.36ms
step   160 | loss: 6.015824 | lr: 3.00e-04 | norm: 1.9786 | dt: 294.13ms
step   170 | loss: 5.807241 | lr: 3.00e-04 | norm: 1.4691 | dt: 293.93ms
step   180 | loss: 5.030481 | lr: 3.00e-04 | norm: 1.4633 | dt: 294.16ms
step   190 | loss: 5.459194 | lr: 3.00e-04 | norm: 1.8030 | dt: 293.12ms
step   200 | loss: 4.977280 | lr: 3.00e-04 | norm: 1.7764 | dt: 292.32ms
step   210 | loss: 5.319638 | lr: 3.00e-04 | norm: 1.4263 | dt: 293.68ms
step   220 | loss: 5.510630 | lr: 3.00e-04 | norm: 1.6919 | dt: 293.71ms
step   230 | loss: 5.378160 | lr: 3.00e-04 | norm: 1.7059 | dt: 292.11ms
step   240 | loss: 5.445147 | lr: 3.00e-04 | norm: 1.6765 | dt: 296.73ms
step   250 | loss: 5.056555 | lr: 3.00e-04 | norm: 1.7876 | dt: 295.40ms
step   260 | loss: 5.282060 | lr: 3.00e-04 | norm: 2.1183 | dt: 293.33ms
step   270 | loss: 5.483299 | lr: 3.00e-04 | norm: 1.9526 | dt: 293.12ms
step   280 | loss: 5.524887 | lr: 3.00e-04 | norm: 1.4074 | dt: 293.24ms
step   290 | loss: 5.280881 | lr: 3.00e-04 | norm: 1.6727 | dt: 292.81ms
step   300 | loss: 4.599836 | lr: 3.00e-04 | norm: 1.5059 | dt: 292.17ms
step   310 | loss: 5.207650 | lr: 3.00e-04 | norm: 1.9812 | dt: 292.93ms
step   320 | loss: 4.535419 | lr: 3.00e-04 | norm: 1.7430 | dt: 293.51ms
step   330 | loss: 5.307763 | lr: 3.00e-04 | norm: 1.8138 | dt: 295.88ms
step   340 | loss: 4.618168 | lr: 3.00e-04 | norm: 1.3811 | dt: 292.87ms
step   350 | loss: 4.872171 | lr: 3.00e-04 | norm: 1.2520 | dt: 293.26ms
step   360 | loss: 4.782449 | lr: 3.00e-04 | norm: 1.5608 | dt: 293.85ms
step   370 | loss: 5.034222 | lr: 3.00e-04 | norm: 1.4132 | dt: 293.69ms
step   380 | loss: 4.945326 | lr: 3.00e-04 | norm: 1.4458 | dt: 293.19ms
step   390 | loss: 4.564105 | lr: 3.00e-04 | norm: 1.6518 | dt: 293.14ms
step   400 | loss: 4.559736 | lr: 3.00e-04 | norm: 1.7263 | dt: 293.05ms
step   410 | loss: 4.543813 | lr: 3.00e-04 | norm: 1.4781 | dt: 293.14ms
step   420 | loss: 4.549472 | lr: 3.00e-04 | norm: 1.7388 | dt: 296.29ms
step   430 | loss: 4.402637 | lr: 3.00e-04 | norm: 1.5331 | dt: 293.08ms
step   440 | loss: 4.839237 | lr: 3.00e-04 | norm: 1.6014 | dt: 292.70ms
step   450 | loss: 4.746987 | lr: 3.00e-04 | norm: 1.7909 | dt: 293.29ms
step   460 | loss: 4.438426 | lr: 3.00e-04 | norm: 1.8147 | dt: 294.81ms
step   470 | loss: 4.045730 | lr: 3.00e-04 | norm: 1.4150 | dt: 293.00ms
step   480 | loss: 4.653774 | lr: 3.00e-04 | norm: 1.8367 | dt: 294.58ms
step   490 | loss: 5.139123 | lr: 3.00e-04 | norm: 2.1334 | dt: 293.66ms
step   500 | loss: 4.882164 | lr: 3.00e-04 | norm: 1.7508 | dt: 293.03ms
step   510 | loss: 4.229162 | lr: 2.99e-04 | norm: 1.6579 | dt: 294.84ms
step   520 | loss: 4.470848 | lr: 2.99e-04 | norm: 1.6991 | dt: 292.50ms
step   530 | loss: 4.170216 | lr: 2.99e-04 | norm: 1.6684 | dt: 293.69ms
step   540 | loss: 4.527090 | lr: 2.99e-04 | norm: 1.6077 | dt: 295.70ms
step   550 | loss: 4.710358 | lr: 2.99e-04 | norm: 1.5055 | dt: 293.89ms
step   560 | loss: 4.688319 | lr: 2.99e-04 | norm: 2.3326 | dt: 294.60ms
step   570 | loss: 4.747174 | lr: 2.99e-04 | norm: 1.8392 | dt: 292.71ms
step   580 | loss: 4.375575 | lr: 2.99e-04 | norm: 2.3120 | dt: 294.75ms
step   590 | loss: 4.585391 | lr: 2.99e-04 | norm: 1.8419 | dt: 294.29ms
step   600 | loss: 4.804621 | lr: 2.99e-04 | norm: 2.1258 | dt: 293.85ms
step   610 | loss: 4.859094 | lr: 2.99e-04 | norm: 1.7283 | dt: 292.96ms
step   620 | loss: 4.646420 | lr: 2.99e-04 | norm: 1.8158 | dt: 295.59ms
step   630 | loss: 3.979910 | lr: 2.99e-04 | norm: 1.8597 | dt: 294.65ms
step   640 | loss: 4.540629 | lr: 2.99e-04 | norm: 2.1693 | dt: 296.28ms
step   650 | loss: 3.970247 | lr: 2.99e-04 | norm: 1.7522 | dt: 295.88ms
step   660 | loss: 4.804071 | lr: 2.99e-04 | norm: 2.4828 | dt: 301.62ms
step   670 | loss: 4.068440 | lr: 2.99e-04 | norm: 1.6947 | dt: 300.87ms
step   680 | loss: 4.307800 | lr: 2.99e-04 | norm: 1.4940 | dt: 309.48ms
step   690 | loss: 4.133062 | lr: 2.99e-04 | norm: 1.7336 | dt: 308.43ms
step   700 | loss: 4.444753 | lr: 2.99e-04 | norm: 2.0790 | dt: 329.96ms
step   710 | loss: 4.310970 | lr: 2.99e-04 | norm: 1.9572 | dt: 314.13ms
step   720 | loss: 4.088048 | lr: 2.99e-04 | norm: 1.8472 | dt: 324.11ms
step   730 | loss: 3.931861 | lr: 2.99e-04 | norm: 1.9348 | dt: 309.32ms
step   740 | loss: 3.969667 | lr: 2.99e-04 | norm: 1.7597 | dt: 323.44ms
step   750 | loss: 3.998309 | lr: 2.99e-04 | norm: 1.8085 | dt: 328.69ms
step   760 | loss: 3.899299 | lr: 2.99e-04 | norm: 1.8037 | dt: 314.46ms
step   770 | loss: 4.438385 | lr: 2.99e-04 | norm: 2.7707 | dt: 332.95ms
step   780 | loss: 4.320245 | lr: 2.99e-04 | norm: 1.8342 | dt: 322.58ms
step   790 | loss: 3.935338 | lr: 2.99e-04 | norm: 1.7146 | dt: 316.63ms
step   800 | loss: 3.689183 | lr: 2.99e-04 | norm: 2.1631 | dt: 332.26ms
step   810 | loss: 4.108864 | lr: 2.98e-04 | norm: 1.9715 | dt: 351.15ms
step   820 | loss: 4.587735 | lr: 2.98e-04 | norm: 2.2651 | dt: 340.33ms
step   830 | loss: 4.314493 | lr: 2.98e-04 | norm: 2.1965 | dt: 342.12ms
step   840 | loss: 3.799607 | lr: 2.98e-04 | norm: 2.2613 | dt: 347.12ms
step   850 | loss: 3.880527 | lr: 2.98e-04 | norm: 2.0555 | dt: 362.26ms
step   860 | loss: 3.679599 | lr: 2.98e-04 | norm: 1.8914 | dt: 360.17ms
step   870 | loss: 4.016461 | lr: 2.98e-04 | norm: 1.9866 | dt: 342.85ms
step   880 | loss: 4.186802 | lr: 2.98e-04 | norm: 2.2830 | dt: 337.20ms
step   890 | loss: 4.185441 | lr: 2.98e-04 | norm: 2.4564 | dt: 335.93ms
step   900 | loss: 4.255521 | lr: 2.98e-04 | norm: 2.2057 | dt: 335.57ms
step   910 | loss: 3.828056 | lr: 2.98e-04 | norm: 2.4769 | dt: 335.42ms
step   920 | loss: 4.156828 | lr: 2.98e-04 | norm: 2.3334 | dt: 322.62ms
step   930 | loss: 4.339231 | lr: 2.98e-04 | norm: 2.7155 | dt: 331.07ms
step   940 | loss: 4.429685 | lr: 2.98e-04 | norm: 2.7901 | dt: 338.69ms
step   950 | loss: 4.170518 | lr: 2.98e-04 | norm: 2.2083 | dt: 320.27ms
step   960 | loss: 3.566059 | lr: 2.98e-04 | norm: 2.3252 | dt: 329.19ms
step   970 | loss: 3.998673 | lr: 2.98e-04 | norm: 2.4233 | dt: 324.48ms
step   980 | loss: 3.547976 | lr: 2.98e-04 | norm: 2.1248 | dt: 321.53ms
step   990 | loss: 4.293177 | lr: 2.98e-04 | norm: 2.7908 | dt: 311.91ms
step  1000 | loss: 3.650634 | lr: 2.98e-04 | norm: 1.9068 | dt: 312.61ms
step  1010 | loss: 3.900491 | lr: 2.98e-04 | norm: 2.0332 | dt: 299.76ms
step  1020 | loss: 3.708285 | lr: 2.97e-04 | norm: 2.2895 | dt: 320.93ms
step  1030 | loss: 3.934824 | lr: 2.97e-04 | norm: 2.3902 | dt: 308.25ms
step  1040 | loss: 3.856299 | lr: 2.97e-04 | norm: 2.0026 | dt: 303.20ms
step  1050 | loss: 3.647106 | lr: 2.97e-04 | norm: 2.0827 | dt: 345.70ms
step  1060 | loss: 3.506692 | lr: 2.97e-04 | norm: 2.1003 | dt: 320.59ms
step  1070 | loss: 3.557409 | lr: 2.97e-04 | norm: 2.1967 | dt: 309.27ms
step  1080 | loss: 3.538530 | lr: 2.97e-04 | norm: 2.0275 | dt: 300.95ms
step  1090 | loss: 3.519478 | lr: 2.97e-04 | norm: 2.6150 | dt: 305.44ms
step  1100 | loss: 4.022976 | lr: 2.97e-04 | norm: 2.4171 | dt: 307.13ms
step  1110 | loss: 3.939515 | lr: 2.97e-04 | norm: 2.2232 | dt: 302.81ms
step  1120 | loss: 3.556796 | lr: 2.97e-04 | norm: 2.2841 | dt: 303.78ms
step  1130 | loss: 3.367259 | lr: 2.97e-04 | norm: 2.7235 | dt: 297.06ms
step  1140 | loss: 3.694151 | lr: 2.97e-04 | norm: 2.6762 | dt: 295.30ms
step  1150 | loss: 4.060725 | lr: 2.97e-04 | norm: 2.6445 | dt: 304.23ms
step  1160 | loss: 3.889083 | lr: 2.97e-04 | norm: 3.0022 | dt: 299.23ms
step  1170 | loss: 3.384400 | lr: 2.97e-04 | norm: 2.3578 | dt: 302.12ms
step  1180 | loss: 3.343095 | lr: 2.97e-04 | norm: 2.2438 | dt: 297.33ms
step  1190 | loss: 3.288057 | lr: 2.96e-04 | norm: 2.3616 | dt: 301.81ms
step  1200 | loss: 3.597856 | lr: 2.96e-04 | norm: 2.4459 | dt: 295.18ms
step  1210 | loss: 3.775840 | lr: 2.96e-04 | norm: 2.6727 | dt: 298.35ms
step  1220 | loss: 3.737208 | lr: 2.96e-04 | norm: 2.7859 | dt: 294.96ms
step  1230 | loss: 3.708513 | lr: 2.96e-04 | norm: 2.4629 | dt: 295.27ms
step  1240 | loss: 3.343591 | lr: 2.96e-04 | norm: 2.6010 | dt: 294.99ms
step  1250 | loss: 3.640943 | lr: 2.96e-04 | norm: 2.6307 | dt: 298.09ms
step  1260 | loss: 3.918450 | lr: 2.96e-04 | norm: 2.7952 | dt: 296.93ms
step  1270 | loss: 3.947558 | lr: 2.96e-04 | norm: 2.7220 | dt: 296.16ms
step  1280 | loss: 3.754749 | lr: 2.96e-04 | norm: 2.7000 | dt: 296.03ms
step  1290 | loss: 3.133520 | lr: 2.96e-04 | norm: 2.3025 | dt: 293.81ms
